,timestamp,open,high,low,close
2023-06-26 12:19:10,,563.25,563.35,563.1,563.35
2023-06-26 12:19:15,,563.15,563.35,563.15,563.35
2023-06-26 12:19:20,,563.15,563.15,563.15,563.15
2023-06-26 12:19:20,,563.25,563.25,563.1,563.15
2023-06-26 12:19:20,,563.25,563.3,563.25,563.3
2023-06-26 12:19:20,,563.35,563.35,563.35,563.35
2023-06-26 12:19:25,,563.15,563.15,563.15,563.15
2023-06-26 12:19:25,,563.3,563.3,563.3,563.3
2023-06-26 12:19:25,,563.35,563.35,563.35,563.35
2023-06-26 12:19:30,,563.15,563.15,563.15,563.15
2023-06-26 12:19:30,,563.35,563.35,563.35,563.35
2023-06-26 12:19:35,,563.2,563.2,563.2,563.2
2023-06-26 12:19:35,,563.35,563.35,563.15,563.15
2023-06-26 12:19:35,,563.35,563.35,563.35,563.35
2023-06-26 12:19:40,,563.4,563.4,563.4,563.4
